mode,t=0.5,t=1.0,t=1.5,t=2.0,t=2.5,t=3.0,t=3.5,t=4.0,t=4.5,t=5.0
1,-2.57075474,0.1165445068,0.2781978121,0.2971557722,0.3103931207,0.3132450931,0.313699499,0.3138178707,0.313849497,0.3138515688
2,0.06689377896,-1.006405086,0.08718451073,0.1190512877,0.120080442,0.12229498,0.1226500321,0.1227305723,0.1227623113,0.1227571706
3,0.00121989518,0.003806472319,-0.1250826769,0.006848795375,0.01751259685,0.01844400182,0.01917584198,0.01933633069,0.01936794901,0.01937079371
4,9.969722967e-05,6.107619079e-06,0.001808089575,-0.02134470183,0.0001019011103,0.003345847342,0.003840733408,0.0040122256,0.004065006824,0.004065093126
5,5.166802006e-07,5.343054776e-06,-2.375959306e-06,0.0004410247372,-0.002851305005,-0.0001115272805,0.0005426377027,0.0006423528678,0.0006638040644,0.0006695291374
6,-1.324886953e-08,-5.61528867e-08,1.04860665e-06,-1.771170272e-06,5.540953213e-05,-0.0002553736985,1.666191881e-05,6.153826105e-05,5.819548488e-05,6.436046588e-05
7,-3.756003067e-10,7.937059156e-10,9.436121434e-10,2.123631476e-07,1.608058396e-07,7.213276135e-06,-5.188536763e-05,7.826631408e-06,2.122758267e-05,1.524334895e-05
8,9.421876135e-12,-1.941277215e-11,-3.619851293e-10,-1.431635034e-09,-3.560680088e-08,1.576088177e-07,-8.77380484e-07,4.954995086e-06,-3.58367071e-06,-6.141897472e-07
9,-1.222607183e-11,-9.545532365e-12,5.092871114e-11,-7.625227402e-10,-8.092416998e-10,-4.175199323e-08,4.80853533e-08,7.785185223e-07,1.444694838e-06,-2.228130434e-06
10,9.305925996e-09,9.305925996e-09,9.305926001e-09,9.305925862e-09,9.305925472e-09,9.30592132e-09,9.305923641e-09,9.306102134e-09,9.306106505e-09,9.305577027e-09
